Medical_Term,Frequency
purulent,142
eyelid,142
concerned,142
implantation,142
instilled,142
surgeon,142
fell,141
otitis,141
arch,141
rapid,141
excessive,141
frozen,141
concern,141
pouch,141
comfortable,141
gram,141
dilator,141
testicle,141
those,141
fragment,140
albuterol,140
intensive,140
enough,140
dialysis,139
interpretation,139
subdural,139
gets,139
fhx,139
pneumatic,139
calf,139
lip,139
score,139
relief,139
bur,138
placenta,138
rupture,138
thick,138
tonsillar,138
drilled,138
media,138
ischemia,138
coronal,138
steroid,138
particularly,138
oximetry,138
split,137
deepened,137
selective,137
icu,137
extra,137
understanding,137
loop,137
pigtail,137
labor,137
cruciate,137
lap,136
wide,136
herself,136
handed,136
hemorrhoids,136
together,136
discontinued,136
bulging,136
obtuse,136
recall,136
coming,136
discuss,136
quality,136
wanted,136
retraction,136
understands,135
strong,135
shx,135
craniotomy,135
compared,135
platysma,135
leak,135
markedly,135
clinically,135
systemic,135
fingers,135
effects,135
gradient,135
gently,134
topical,134
decubitus,134
ulcers,134
suicidal,134
roll,134
prognosis,134
medicine,134
beta,134
hct,134
nodules,134
trace,134
corneal,134
laparotomy,134
cesarean,134
laryngeal,133
basal,133
responses,133
liters,133
exploration,133
recommendation,133
tomorrow,133
fixed,133
intracranial,133
suggestive,133
penile,133
fields,133
gallop,133
adequately,132
vocal,132
partially,132
insufflated,132
intercostal,132
identification,132
tricuspid,132
preparation,132
revision,132
kerlix,132
shaft,132
holes,132
describes,131
aid,131
infusion,131
drained,131
displaced,131
shape,131
groove,131
june,131
attachments,131
soaked,131
bronchoscopy,131
gas,131
dependent,131
look,130
morphine,130
window,130
doses,130
jvd,130
verbal,130
sore,130
guarding,130
treatments,130
tight,130
melena,129
distention,129
hypertrophic,129
conditions,129
endoscopic,129
tracheostomy,129
brachial,129
pharynx,129
lamina,129
normally,129
roots,129
son,129
maintain,129
sized,128
rebound,128
facility,128
catheters,128
finding,128
consulted,128
ace,128
administration,128
encouraged,128
behind,128
crease,128
stools,128
sustained,128
assess,128
stones,127
almost,127
index,127
cortex,127
ounces,127
ice,127
calcification,127
spinous,127
instability,127
true,127
swallow,127
create,127
team,126
intrauterine,126
preop,126
bile,126
doubly,126
extraction,126
digits,126
ankles,126
aggressive,126
distended,126
undergone,126
correction,125
cardiopulmonary,125
coagulation,125
assistance,125
anatomic,125
digit,125
scrotum,125
expose,125
heavy,125
infected,124
fair,124
far,124
top,124
hallucinations,124
dysarthria,124
radical,124
healed,124
isolated,124
infections,124
tonsils,124
arthroplasty,124
aware,124
sugar,124
stapler,124
trying,123
find,123
fit,123
piece,123
gradually,123
solid,123
planning,123
alt,123
desires,123
notch,123
xxx,123
forward,123
boy,123
born,123
allergy,123
job,122
curette,122
distraction,122
orthopedic,122
admits,122
nasopharynx,122
unchanged,122
minor,122
pad,122
marrow,121
matter,121
protected,121
postoperatively,121
debris,121
raised,121
events,121
adnexal,120
diaphragm,120
suprapubic,120
rather,120
filling,120
vault,120
november,120
fibroid,120
surfaces,120
components,120
cheek,120
dried,120
conclusion,119
camera,119
ethibond,119
exertion,119
goal,119
earlier,119
omentum,119
exudate,119
liquid,119
sternocleidomastoid,119
glenoid,119
extremely,118
ileum,118
complication,118
staff,118
epigastric,118
deferred,118
fragments,118
differential,118
pass,118
screening,118
conscious,118
speed,118
splint,118
ancef,118
quadrants,118
aphasia,117
cellulitis,117
lack,117
sample,117
anatomy,117
adult,117
pains,117
occipital,117
placing,117
debrided,117
pronator,117
endometrial,117
serum,117
vas,117
become,117
pediatric,117
velocity,116
healing,116
canals,116
dissect,116
expected,116
neoplasm,116
dural,116
dilation,116
condyle,116
anything,116
questionable,116
certainly,116
lady,116
laser,116
stem,116
vertical,116
reading,116
coughing,116
seem,115
cycle,115
flexible,115
widely,115
ast,115
onto,115
seeing,115
hold,115
hemoptysis,115
frequently,115
hiatal,115
suspected,115
metoprolol,115
longer,115
august,114
tenaculum,114
january,114
neuro,114
humerus,114
nares,114
impingement,114
hospitalized,114
candidate,114
allis,114
worsened,114
ligation,114
laparoscope,114
adenocarcinoma,114
terms,114
formation,114
volar,114
moving,113
demonstrate,113
bulk,113
carbohydrate,113
kept,113
attachment,113
tape,113
conjunctiva,113
obturator,113
receive,113
coordination,113
tremor,113
ovaries,113
determined,113
gives,113
hair,112
ostium,112
voice,112
tolerate,112
gut,112
spaces,112
pacing,112
operations,112
osteophyte,112
bruit,112
rib,112
hpi,111
cup,111
numerous,111
indicates,111
albumin,111
postanesthesia,111
assisted,111
retired,111
shaped,111
video,111
slow,111
trouble,111
bronchus,111
contour,111
growth,111
presence,111
leads,111
things,111
october,111
stability,111
meal,110
balance,110
situation,110
dilatation,110
panel,110
hiv,110
immunizations,110
tracheal,110
wished,110
meticulous,110
tubal,110
gen,110
usually,110
foraminal,110
infraumbilical,110
rub,110
recheck,110
bunion,110
caused,110
instruments,110
treat,110
progressively,109
limb,109
skull,109
cardiology,109
kerrison,109
effort,109
processes,109
plans,109
move,109
resistance,109
confirm,109
waiting,109
calcified,109
retaining,109
arthroscopic,109
squamous,108
vitals,108
caudal,108
intake,108
unclear,108
paroxysmal,108
evident,108
etoh,108
respectively,108
meals,108
rehabilitation,107
doppler,107
calculated,107
regions,107
improving,107
assist,107
gastrostomy,107
development,106
